epoch,endogeq_1,total_loss
187,2.9533005090343067e-06,2.9533005090343067e-06
188,2.9533005090343067e-06,2.9533005090343067e-06
189,2.9533005090343067e-06,2.9533005090343067e-06
190,2.9533005090343067e-06,2.9533005090343067e-06
191,2.9533005090343067e-06,2.9533005090343067e-06
192,2.9533005090343067e-06,2.9533005090343067e-06
193,2.9533005090343067e-06,2.9533005090343067e-06
194,2.9533005090343067e-06,2.9533005090343067e-06
195,2.9533005090343067e-06,2.9533005090343067e-06
196,2.9533005090343067e-06,2.9533005090343067e-06
197,2.9533005090343067e-06,2.9533005090343067e-06
198,2.9533005090343067e-06,2.9533005090343067e-06
199,2.9533005090343067e-06,2.9533005090343067e-06
