epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,system_crisis_region,system_normal_region,total_loss
4200,2.509182763787976e-07,5.130118552187923e-10,1.916762448672671e-05,3.2741809263825417e-11,0.0037305026780813932,0.0003341210540384054,0.006006532348692417
4300,2.3865146658863523e-07,6.474820679613913e-09,2.0317424059612677e-05,6.465496937835269e-08,0.0034501473419368267,0.0003207678673788905,0.005833636038005352
4400,2.358643200750521e-07,1.7408297026122455e-11,1.683789014350623e-05,4.322263436051799e-09,0.0033675103913992643,0.0003340354305692017,0.005409355275332928
4500,2.3159954309903696e-07,4.143885234952904e-11,1.5481615264434367e-05,3.552713678800501e-11,0.003162551438435912,0.0003392180078662932,0.005073098465800285
4600,2.3205872423659457e-07,5.184261908652843e-10,1.427717688784469e-05,2.751221472863108e-11,0.0029813668224960566,0.0003372304199729115,0.0047695753164589405
4700,2.29196302825585e-07,1.2704646223937743e-09,1.3143019714334514e-05,2.0520474208751693e-11,0.0027686054818332195,0.0003429341595619917,0.004448890686035156
4800,2.2544510613897728e-07,2.412207322777249e-09,1.2065982446074486e-05,2.2737367544323206e-11,0.002589142881333828,0.0003418902342673391,0.004160419572144747
4900,2.2150038603285793e-07,3.961758920922875e-09,1.1048792657675222e-05,1.8417267710901797e-11,0.0023850975558161736,0.00034795887768268585,0.0038604838773608208
5000,2.1747928258264437e-07,5.985626216897799e-09,1.0084388122777455e-05,1.3656631381309126e-11,0.002188779879361391,0.00035437627229839563,0.003573942929506302
5100,2.1250470183531434e-07,8.2298043935225e-09,9.171948477160186e-06,1.1951328815484885e-11,0.00200188672170043,0.00036117242416366935,0.0033023287542164326
5200,2.0596145589024673e-07,1.0905068847932853e-08,8.320540473505389e-06,1.3656631381309126e-11,0.0018248890992254019,0.00036839340464212,0.0030470245983451605
5300,2.0326530147940503e-07,1.4698130712531565e-08,7.5124130489712115e-06,9.606537787476555e-12,0.001682675676420331,0.00036786479176953435,0.002823578892275691
5400,1.9760820180181327e-07,1.879385536085465e-08,6.767415470676497e-06,6.266986929404084e-12,0.0015287356218323112,0.0003753919736482203,0.0026025099214166403
5500,1.9182203914169804e-07,2.3283064365386963e-08,6.0768870753236115e-06,5.130118552187923e-12,0.0013877211604267359,0.0003833152004517615,0.0024002359714359045
5600,1.8345714636325283e-07,2.8092529191781068e-08,5.430192686617374e-06,2.7853275241795927e-12,0.001261081313714385,0.0003917714930139482,0.002217027358710766
5700,1.7868893564809696e-07,3.3833899237833975e-08,4.854700819123536e-06,1.1510792319313623e-12,0.0011634672991931438,0.0003922598552890122,0.0020624496974051
5800,2.4356836547667626e-07,1.1029911206605902e-08,4.327898750489112e-06,6.963318810448982e-13,0.0010585596319288015,0.0004042066284455359,0.0019210160244256258
5900,1.5843569656226464e-07,4.722734558981756e-08,3.846299932774855e-06,2.2737367544323206e-13,0.0009723542025312781,0.0004102894745301455,0.0017878400394693017
6000,1.3003820242829534e-07,6.965871079955832e-08,3.4190281894552754e-06,1.1510792319313623e-12,0.0009126171935349703,0.0004106676788069308,0.0016851574182510376
6100,2.6633429683897702e-08,8.126312991407758e-07,3.0221631277527194e-06,3.991829089500243e-11,0.0009202659130096436,0.0004989742883481085,0.00180538697168231
6200,1.489957526246144e-07,5.537509650821448e-08,2.701010089367628e-06,5.115907697472721e-13,0.0008008398581296206,0.00042091094655916095,0.001512289047241211
6300,2.6865768631978426e-07,5.081858489575097e-09,2.40891449720948e-06,1.4551915228366852e-11,0.0007604463025927544,0.00043415906839072704,0.0014628722565248609
6400,1.3489740524619265e-07,6.667102070423425e-08,2.143473466276191e-06,0.0,0.0007345610647462308,0.0004221729759592563,0.0013912381837144494
6500,3.399503611944965e-07,6.207443448147387e-10,1.932111217683996e-06,2.165720403013438e-08,0.0006909447838552296,0.00046071759425103664,0.0013810963137075305
6600,1.2467813803596073e-07,7.484892705633683e-08,1.718039357001544e-06,3.1391778065881226e-11,0.0006727681611664593,0.0004319431900512427,0.001296471105888486
6700,1.6704711924830917e-06,5.281340236251708e-06,4.757838212299248e-07,9.621214121580124e-05,0.0026853750459849834,0.0012967126676812768,0.014346062205731869
6800,1.1389376197712409e-07,7.524080558596324e-08,1.5246071143337758e-06,2.1393589122453704e-09,0.0006561042973771691,0.00042703465442173183,0.0012547270162031054
6900,1.0521490878545592e-07,8.931591821692564e-08,1.3944429611001397e-06,2.2737367544323206e-13,0.0006427359185181558,0.0004259626439306885,0.001227595959790051
7000,6.030518306943122e-08,1.5010215292932116e-07,1.297809149036766e-06,1.4210854715202004e-14,0.0006302230176515877,0.0004273660306353122,0.0012084107147529721
7100,9.866916172995843e-08,9.451981952679489e-08,1.208539856634161e-06,0.0,0.0006151104462333024,0.0004267331678420305,0.0011820164509117603
7200,9.621322760722251e-08,9.740011819303618e-08,1.125570634030737e-06,0.0,0.0006021947483532131,0.0004270986537449062,0.0011612118687480688
7300,1.5796155139469192e-07,3.588128549836256e-08,1.0492226465430576e-06,8.881784197001252e-14,0.0005758596817031503,0.0004444991354830563,0.0011446652933955193
7400,8.768461157160345e-08,1.0413499751393829e-07,9.780083018995356e-07,0.0,0.0005795960896648467,0.0004275486571714282,0.001124127535149455
7500,4.720144261227688e-06,1.1640173397609033e-05,8.96791675586428e-07,9.208989126818778e-11,0.0014105839654803276,0.002635057084262371,0.005771361291408539
7600,7.968628779053688e-08,1.0966920171995298e-07,8.51028460147063e-07,3.552713678800501e-15,0.0005583385354839265,0.0004284639726392925,0.0010908409021794796
7700,7.232665666379035e-08,1.2100150570404367e-07,7.945582183310762e-07,5.684341886080802e-14,0.0005484402063302696,0.000428022351115942,0.0010752512607723475
7800,1.0085295798489824e-07,7.602763218983455e-08,7.424724799420801e-07,1.2789769243681803e-13,0.0005387528799474239,0.00043185948743484914,0.0010625476716086268
7900,7.022619286090048e-08,1.1869047966683866e-07,6.934461111995915e-07,1.4210854715202004e-14,0.0005299016484059393,0.00042843702249228954,0.0010465749073773623
8000,1.6973353922367096e-07,2.2418134904000908e-08,6.501580287476827e-07,3.197442310920451e-12,0.0005219968734309077,0.0004442696808837354,0.0010504978708922863
8100,6.290883902693167e-08,1.2375382141271984e-07,6.058262442820705e-07,1.4210854715202004e-14,0.0005129933124408126,0.00042827686411328614,0.0010205190628767014
8200,6.15409732063199e-08,1.250151058229676e-07,5.664014679496177e-07,2.2737367544323206e-13,0.0005047252052463591,0.00042808891157619655,0.001008109888061881
8300,2.0259506072761724e-08,2.2239896679820959e-07,5.286512987368042e-07,1.7408297026122455e-13,0.0004979320801794529,0.0004287338233552873,0.0010037969332188368
8400,5.442542772016168e-08,1.3098565432301257e-07,4.950778702550451e-07,1.2789769243681803e-13,0.0004899289342574775,0.00042730223503895104,0.0009852800285443664
8500,2.987420202771318e-06,2.298209210493951e-06,4.796110602001136e-07,2.589928271845565e-10,0.000814417318906635,0.001385220093652606,0.002776187378913164
8600,5.442542772016168e-08,1.2249893188709393e-07,4.3281647776893806e-07,5.115907697472721e-13,0.000476179295219481,0.00042708488763310015,0.0009642383083701134
8700,4.717554702438065e-08,1.35862364913919e-07,4.045323009904678e-07,1.1510792319313623e-12,0.00046945124631747603,0.00042577600106596947,0.000953984388615936
8800,2.1534575012083224e-08,1.9570508413835341e-07,3.773902506054583e-07,1.4210854715202004e-14,0.0004628702881745994,0.0004252000362612307,0.0009475332917645574
8900,4.155396027272218e-08,1.4038120355053252e-07,3.5354651117813773e-07,1.4210854715202004e-14,0.0004575076454784721,0.00042410611058585346,0.0009351619519293308
9000,2.4711113155717612e-09,3.1538888833893e-07,3.286791638856812e-07,6.568967592102126e-12,0.00045283150393515825,0.00042540914728306234,0.0009428951889276505
9100,4.932259400902694e-08,1.1445769132478745e-07,3.0979157372712507e-07,1.2789769243681803e-13,0.0004464820376597345,0.00042419476085342467,0.0009180339984595776
9200,3.4850074825953925e-08,1.4570110806744196e-07,2.8909488491990487e-07,1.1510792319313623e-12,0.000440620060544461,0.00042114220559597015,0.0009087270009331405
9300,5.7642012052383507e-08,8.017070740606869e-07,2.5655265289969975e-07,5.403677505455562e-10,0.0004562620888464153,0.000475967739475891,0.0010438740719109774
9400,1.2789769243681803e-07,1.3551107258535922e-07,1.889087002382439e-07,1.9290955606265925e-05,0.0013517645420506597,0.0003900368756148964,0.0037161288782954216
9500,4.9960036108132044e-08,9.291410663081479e-08,2.5073128995245497e-07,4.4019543565809727e-10,0.00045691744890064,0.0004087862325832248,0.0009051082306541502
9600,1.5518608620368468e-08,1.8203026286300883e-07,2.3922029868117534e-07,1.4210854715202004e-12,0.00043626228580251336,0.0004094777686987072,0.0008894171332940459
9700,2.4461769498884678e-08,1.5102727957128081e-07,2.3032056617466878e-07,1.1510792319313623e-12,0.0004325773334130645,0.000408265448641032,0.0008814238244667649
9800,1.3815684951623552e-07,1.1281727552159282e-08,2.2224699591788522e-07,6.87805368215777e-12,0.0004421810735948384,0.0004345754277892411,0.0009139257599599659
9900,2.2098006979831553e-08,1.512126459601859e-07,2.1409886130641098e-07,2.0463630789890885e-12,0.0004241472634021193,0.0004048972041346133,0.0008677856530994177
10000,6.765344096493209e-06,6.975313226575963e-06,2.0905368103285582e-07,5.46265255252365e-11,0.001326061086729169,0.0027990906964987516,0.005520128645002842
10100,1.5937203556859458e-08,1.6340892727839673e-07,1.991870135498175e-07,1.4210854715202004e-12,0.0004153925983700901,0.00040091003756970167,0.0008541560964658856
10200,1.5578066836496873e-08,1.6244656819708325e-07,1.9209909396522562e-07,6.963318810448982e-13,0.00041107647120952606,0.00039906208985485137,0.0008471510373055935
10300,3.6927531255059876e-08,9.547511581331491e-08,1.852054651863e-07,1.4210854715202004e-12,0.0004103397950530052,0.0004016513121314347,0.0008437520591542125
10400,1.4727049801877001e-08,1.5673209929900622e-07,1.7840962129866966e-07,5.115907697472721e-13,0.0004032364231534302,0.00039511374779976904,0.0008333370788022876
10500,3.1405136269313516e-07,2.6052987323055277e-08,1.7259964124605176e-07,6.87805368215777e-12,0.0004429614054970443,0.0004851110861636698,0.0009793436620384455
10600,1.3178706126382167e-08,1.5335253067405574e-07,1.6534875157958595e-07,9.094947017729282e-13,0.0003833723603747785,0.000397712952690199,0.000814273371361196
10700,7.407891189359361e-09,1.7778303629256698e-07,1.5899632899163407e-07,1.2789769243681803e-13,0.0003789314068853855,0.00039418457890860736,0.0008075347286649048
10800,1.548892214486841e-08,1.3384864416821074e-07,1.530140849581585e-07,6.963318810448982e-13,0.0003768517926800996,0.00039368384750559926,0.0008007708820514381
10900,9.392934430252353e-09,1.5710988066075515e-07,1.4705962314565113e-07,9.094947017729282e-13,0.00037235551280900836,0.0003895970294252038,0.0007933088927529752
11000,2.3137772586778738e-08,9.740011819303618e-08,1.4151690663766203e-07,2.4016344468691386e-12,0.0003712422912940383,0.0003918864531442523,0.0007893344736658037
11100,7.469580509678053e-09,1.5654337914838834e-07,1.3567027679073362e-07,2.2737367544323206e-13,0.0003659828216768801,0.00038388808025047183,0.0007798392325639725
11200,6.765787929907674e-09,1.5569554534522467e-07,1.3021441702676384e-07,3.552713678800501e-13,0.0003623357624746859,0.00038124219281598926,0.0007728455821052194
11300,2.305805537616834e-06,2.0266293176973704e-06,1.275265475442211e-07,1.0027179087046534e-10,0.0007357664871960878,0.001303302589803934,0.002485075267031789
11400,5.694133164979576e-09,1.5047186252559186e-07,1.1990439929832064e-07,1.1510792319313623e-12,0.0003558882453944534,0.0003753921773750335,0.0007588876178488135
11500,3.842615114990622e-09,1.5843569656226464e-07,1.1496004503896984e-07,2.2737367544323206e-13,0.0003520318423397839,0.00037194916512817144,0.0007517048506997526
11600,4.879950665781507e-09,1.4280345794759342e-07,1.1031095681346414e-07,1.7195134205394424e-12,0.00034953930298797786,0.0003695654449984431,0.0007449043914675713
11700,3.206324095117452e-09,1.519552483841835e-07,1.0571267949899266e-07,1.4210854715202004e-14,0.00034603147651068866,0.00036564277252182364,0.0007377616711892188
11800,5.717545263905777e-07,1.8980621234732098e-06,9.849164683828349e-08,2.1614710021822248e-11,0.0004018066101707518,0.0005901687545701861,0.0012488083448261023
11900,2.3079707034412422e-09,1.479851476915428e-07,9.71474136690631e-08,1.1510792319313623e-12,0.0003400402783881873,0.0003589644911698997,0.0007237489335238934
12000,8.253806527136476e-10,1.602439283487911e-07,9.304120851538755e-08,5.115907697472721e-13,0.0003362236311659217,0.00035497950739227235,0.0007166142459027469
12100,1.6914469824769185e-09,1.4172434248393984e-07,8.92646596639679e-08,2.4016344468691386e-12,0.00033424177672713995,0.00035222500446252525,0.0007097350899130106
12200,1.0591207910692901e-09,1.4479246601695195e-07,8.556614972121679e-08,1.2789769243681803e-13,0.00032063398975878954,0.0003545447252690792,0.0006983205094002187
12300,1.2823898032365832e-07,7.083201580826426e-07,8.110813354278434e-08,2.8332806323305704e-08,0.0003222341474611312,0.00038782093906775117,0.0008046550792641938
12400,2.615379912640492e-09,1.1518478970629076e-07,8.164881393213363e-08,3.0250376426010916e-08,0.000317307683872059,0.0003487235226202756,0.000689001171849668
12500,4.18607123719994e-06,9.626500286685769e-06,3.539110480232921e-07,0.0012979070888832211,0.0017096396768465638,0.0020167420152574778,0.134933739900589
12600,5.46265255252365e-11,1.40738748655167e-07,7.820361958010835e-08,2.613001015561167e-08,0.0003418320557102561,0.0003296038485132158,0.0006959486054256558
12700,1.1231136909373163e-08,2.458091330481693e-07,7.619658504154359e-08,5.6843418860808015e-12,0.00033356505446136,0.00032558420207351446,0.0006924734916538
12800,9.532783451504656e-10,1.5910069350866252e-07,7.611045305111475e-08,2.0463630789890885e-12,0.00032219404238276184,0.0003260871453676373,0.0006718978402204812
12900,2.5067947717616335e-11,1.3081313454677002e-07,7.571594551336602e-08,2.0463630789890885e-12,0.0003210185095667839,0.0003228106361348182,0.0006644848035648465
13000,3.6716426166094607e-07,1.6158287508005742e-07,7.506779553523302e-08,2.2737367544323206e-13,0.00040489964885637164,0.000488799880258739,0.0009540810715407133
13100,2.476099325576797e-10,1.2926557246828452e-07,7.381483158042101e-08,1.1510792319313623e-12,0.00031732115894556046,0.0003148115938529372,0.0006524656782858074
13200,2.9878322038712213e-10,1.2425756779066433e-07,7.242347521696502e-08,1.1510792319313623e-12,0.00031562670483253896,0.00031104430672712624,0.0006463690660893917
13300,3.770537659875117e-07,1.1590225312829716e-06,7.092692300147974e-08,5.130118552187923e-12,0.00033309453283436596,0.00042636855505406857,0.0009201639331877232
