epoch,endogvar_q_cond_q_min,endogvar_q_cond_q_max,endogvar_psi_cond_psi_min,endogvar_psi_cond_psi_max,endogeq_1,endogeq_2,total_loss
69,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
70,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
71,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
72,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
73,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
74,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
75,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
76,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
77,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
78,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
79,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
80,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
81,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
82,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
83,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
84,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
85,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
86,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
87,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
88,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
89,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
90,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
91,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
92,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
93,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
94,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
95,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
96,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
97,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
98,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
99,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
100,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
101,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
102,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
103,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
104,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
105,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
106,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
107,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
108,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
109,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
110,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
111,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
112,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
113,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
114,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
115,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
116,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
117,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
118,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
119,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
120,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
121,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
122,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
123,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
124,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
125,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
126,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
127,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
128,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
129,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
130,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
131,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
132,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
133,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
134,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
135,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
136,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
137,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
138,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
139,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
140,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
141,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
142,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
143,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
144,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
145,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
146,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
147,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
148,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
149,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
150,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
151,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
152,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
153,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
154,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
155,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
156,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
157,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
158,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
159,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
160,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
161,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
162,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
163,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
164,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
165,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
166,2.0520474208751693e-09,1.2535252835732535e-09,1.8684255564949126e-07,9.044993589668593e-07,5.2843512094113976e-05,0.0007630084292031825,0.0016883250791579485
